path,system_scope,is_product_runtime,boundary,role,loc,functions,classes,cli_entrypoint,disposition,boundary_basis
scripts/e2e/sync_product_closeout_fleet_comment.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,185,8,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/update_external_proof_handback_status_board.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,215,7,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/verify_deployment_health_backup_rollback.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,374,18,1,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/worker_heartbeat.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,63,1,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/external_data_backfill.py,product_operations_tooling,false,product_operations,product_data_migration,442,5,0,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/generate_assisted_listing_intake_client.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,49,2,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/git/check_commit_scope.py,development_delivery_tooling,false,build_ci_release_tooling,source_control_tool,140,6,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/git/check_commit_trailers.py,development_delivery_tooling,false,build_ci_release_tooling,source_control_tool,187,6,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/git/test_git_task_scripts.py,verification,false,tests,verification,434,45,0,false,retain_test,verification-only
scripts/git/worker_commit.py,development_delivery_tooling,false,build_ci_release_tooling,source_control_tool,231,8,1,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/load/assisted_listing_intake/__init__.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,1,0,0,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/load/assisted_listing_intake/run.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,44,1,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/load/assisted_listing_intake/runtime.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,216,5,1,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/migrations/assisted_listing_intake/migrate.py,product_operations_tooling,false,product_operations,product_data_migration,2085,17,1,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/__init__.py,product_operations_tooling,false,product_operations,product_model_operation,21,0,0,false,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/avm_benchmark.py,product_operations_tooling,false,product_operations,product_model_operation,242,2,0,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/contracts.py,product_operations_tooling,false,product_operations,product_model_operation,575,12,5,false,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/forecast_training.py,product_operations_tooling,false,product_operations,product_model_operation,133,5,1,false,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/heatzone_benchmark.py,product_operations_tooling,false,product_operations,product_model_operation,840,10,0,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/install_views.py,product_operations_tooling,false,product_operations,product_model_operation,633,14,4,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/model_ready_receipt.py,product_operations_tooling,false,product_operations,product_model_operation,97,3,0,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/real_estate_outcomes.py,product_operations_tooling,false,product_operations,product_model_operation,722,15,2,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/release.py,product_operations_tooling,false,product_operations,product_model_operation,1328,31,6,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/sitescore_outcome_benchmark.py,product_operations_tooling,false,product_operations,product_model_operation,280,4,0,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/storage.py,product_operations_tooling,false,product_operations,product_model_operation,599,31,10,false,retain_product_code,operates product deploy/data/model state outside request path
scripts/models/store_opening_backfill.py,product_operations_tooling,false,product_operations,product_data_migration,130,2,0,true,retain_product_code,operates product deploy/data/model state outside request path
scripts/openapi/check_drift.py,development_delivery_tooling,false,build_ci_release_tooling,contract_build_tool,170,7,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/openapi/export_openapi.py,development_delivery_tooling,false,build_ci_release_tooling,contract_build_tool,111,3,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/openapi/generate_client.py,development_delivery_tooling,false,build_ci_release_tooling,contract_build_tool,253,8,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/openapi/openapi_diff.py,development_delivery_tooling,false,build_ci_release_tooling,contract_build_tool,226,9,1,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/orchestrator/backfill_task_archive_snapshots.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,368,9,1,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/orchestrator/check_runtime_freshness.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,173,6,0,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/orchestrator/check_task_dependency_resolvability.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,261,8,1,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/orchestrator/diagnose_finalize_lane_remediation.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,28,0,0,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/orchestrator/finalize_lane_doctor.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,608,18,1,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/orchestrator/rollout_supervisor_runtime.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,186,10,1,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/orchestrator/test_backfill_task_archive_snapshots.py,verification,false,tests,verification,412,29,0,false,retain_test,verification-only
scripts/orchestrator/test_check_runtime_freshness.py,verification,false,tests,verification,126,13,0,false,retain_test,verification-only
scripts/orchestrator/test_check_task_dependency_resolvability.py,verification,false,tests,verification,168,14,0,false,retain_test,verification-only
scripts/orchestrator/test_diagnose_finalize_lane_remediation.py,verification,false,tests,verification,188,10,0,false,retain_test,verification-only
scripts/orchestrator/test_finalize_lane_doctor.py,verification,false,tests,verification,322,28,0,false,retain_test,verification-only
scripts/orchestrator/test_rollout_supervisor_runtime.py,verification,false,tests,verification,96,5,0,false,retain_test,verification-only
scripts/release/assisted_listing_intake/__init__.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,1,0,0,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/release/assisted_listing_intake/config.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,273,7,2,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/release/assisted_listing_intake/drills.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,1536,17,0,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/release/assisted_listing_intake/gates.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,344,7,0,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/release/assisted_listing_intake/run.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,406,6,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/security/generate_sbom.py,development_delivery_tooling,false,build_ci_release_tooling,security_ci_tool,121,3,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/security/sast_scan.py,development_delivery_tooling,false,build_ci_release_tooling,security_ci_tool,47,1,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/security/secret_scan.py,development_delivery_tooling,false,build_ci_release_tooling,security_ci_tool,89,2,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/supervisor_runtime_health.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,448,14,0,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/supervisor_watchdog_install.py,development_platform_system,false,development_platform_operations,orchestrator_maintenance,217,15,0,true,retain_tool_consolidation_candidate,"installs, diagnoses, validates or rolls out control plane"
scripts/test_ai_status.py,verification,false,tests,verification,5599,236,18,true,retain_test,verification-only
scripts/test_check_config_wiring.py,verification,false,tests,verification,131,9,2,true,retain_test,verification-only
scripts/test_supervisor_runtime_health.py,verification,false,tests,verification,284,15,0,false,retain_test,verification-only
scripts/test_supervisor_watchdog_install.py,verification,false,tests,verification,47,3,0,false,retain_test,verification-only
scripts/validate_assisted_listing_intake_design.py,development_delivery_tooling,false,build_ci_release_tooling,development_tool,283,10,1,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
tests/__init__.py,verification,false,tests,verification,1,0,0,false,retain_test,verification-only
tests/conftest.py,verification,false,tests,verification,202,14,2,false,retain_test,verification-only
tests/contract/test_api_error_envelope.py,verification,false,tests,verification,156,10,0,false,retain_test,verification-only
tests/contract/test_api_idempotency_and_pagination.py,verification,false,tests,verification,630,45,0,false,retain_test,verification-only
tests/contract/test_api_versioning.py,verification,false,tests,verification,95,7,0,false,retain_test,verification-only
tests/contract/test_assisted_listing_intake_events.py,verification,false,tests,verification,273,11,0,false,retain_test,verification-only
tests/contract/test_assisted_listing_intake_schema.py,verification,false,tests,verification,355,19,0,false,retain_test,verification-only
tests/contract/test_assisted_listing_intake_states.py,verification,false,tests,verification,557,15,0,false,retain_test,verification-only
tests/contract/test_assisted_listing_openapi.py,verification,false,tests,verification,369,10,0,false,retain_test,verification-only
tests/contract/test_assisted_listing_operations.py,verification,false,tests,verification,1820,28,1,false,retain_test,verification-only
tests/contract/test_assisted_listing_promotion_api.py,verification,false,tests,verification,344,2,0,false,retain_test,verification-only
tests/contract/test_assisted_listing_v1_runtime.py,verification,false,tests,verification,264,9,0,false,retain_test,verification-only
